date,regime,macro_grade,n_qualified,n_high,n_traps_blocked,top5_tickers,top5_scores
2026-06-15,BULL_VOLATILE,NEUTRAL,109,4,25,FCNCA,EG,HIG,LHX,0.791,0.788,0.778,0.761
2026-06-16,BULL_VOLATILE,NEUTRAL,346,13,92,BBD,FSLR,TFC,GMED,ZM,0.827,0.807,0.801,0.796,0.788
2026-06-17,BULL_VOLATILE,NEUTRAL,169,7,41,FSLR,ACGL,GMED,HIG,WIT,0.827,0.805,0.796,0.780,0.760
2026-06-18,BULL_VOLATILE,NEUTRAL,212,6,62,NVDA,GMED,NBIX,EG,TCEHY,0.810,0.802,0.798,0.791,0.779
2026-06-19,BULL_VOLATILE,NEUTRAL,158,9,42,FSLR,ACGL,EG,NBIX,NTES,0.833,0.816,0.803,0.788,0.785
2026-06-22,BULL_VOLATILE,NEUTRAL,113,6,34,GMED,ZM,WIT,PDD,UI,0.784,0.783,0.766,0.763,0.754
2026-06-23,BULL_VOLATILE,NEUTRAL,257,12,76,ITUB,NVDA,ACGL,QCOM,LOGI,0.835,0.808,0.802,0.787,0.774
2026-06-24,BULL_VOLATILE,NEUTRAL,100,2,25,AVGO,LOGI,0.768,0.762
2026-06-25,BULL_VOLATILE,NEUTRAL,219,5,67,ITUB,ZM,SF,NVO,ZTO,0.796,0.791,0.772,0.764,0.762
2026-06-26,BULL_VOLATILE,NEUTRAL,143,5,43,NTES,EME,WIT,ALGN,DECK,0.784,0.781,0.776,0.754,0.753
2026-06-29,BULL_VOLATILE,NEUTRAL,181,7,45,QCOM,ITUB,NTES,ZM,SMCI,0.820,0.797,0.790,0.785,0.777
2026-06-30,BULL_VOLATILE,NEUTRAL,450,8,121,NVDA,ITUB,NTES,KB,TSN,0.814,0.810,0.785,0.778,0.772
2026-07-01,BULL_VOLATILE,NEUTRAL,161,2,35,NVDA,SMCI,0.808,0.754
2026-07-02,BULL_VOLATILE,NEUTRAL,143,3,40,META,MU,AVGO,0.798,0.791,0.779
2026-07-03,BULL_VOLATILE,NEUTRAL,493,16,133,QCOM,NVDA,FSLR,GMED,NTES,0.830,0.817,0.817,0.789,0.782
2026-07-06,BULL_VOLATILE,NEUTRAL,144,6,36,QCOM,NTES,ZM,AVGO,MLI,0.826,0.800,0.796,0.789,0.771
